,count,mean,std,min,25%,50%,75%,max,missing_pct
rolling_kurt_20,360.0,3.164769911100161,6.2012168887740575,-1.716400956503149,-0.5183494684462742,0.6523585046754954,2.691084557013974,19.999672303565237,0.0
corr_DTWEXBGS_20,360.0,0.012881156429612253,0.16749334551524547,-0.38017723608184745,-0.1067418244908461,0.027191628754985212,0.1255893698411369,0.4645215550873384,0.0
log_return_20,360.0,-0.05228178331819222,1.6760406305236515,-2.4517336167068744,-2.306838548408914,0.014843685239076193,0.08315030285999381,2.480915988176879,0.0
beta_VIXCLS_20,360.0,0.10209721909510752,0.8361910535292492,-4.221729836527695,-0.22707484516488652,0.021796986772903208,0.4851156893217655,2.918758654855916,0.0
corr_VIXCLS_20,360.0,0.035874334578049456,0.22362476261107384,-0.5274920344319475,-0.12408239118865333,0.010718121360584821,0.1863782914023404,0.6901504585040342,0.0
beta_T10YIEM_20,360.0,1.3399915721194873,46.32504557139548,-298.17269448598904,-0.03064522868984473,9.349246523159211e-06,11.680621571339179,289.1671216681772,0.0
rolling_std_20,360.0,3.7845118760251237,1.0370271094072832,0.0077091407207348,3.6358006520131583,4.118778367580677,4.479308252656015,5.106790402683315,0.0
return_20,360.0,2.093368165639733,4.361738156436844,-0.9138558839042512,-0.9004241538135067,0.014954646600900179,0.08670513182478207,10.952207485968215,0.0
amihud_20,360.0,215806255.67772442,1002045139.0161325,9.442478992526827e-08,0.007501444973187269,0.023655264321349533,0.05627357133583912,4855640751.752103,0.0
autocorr_20_lag5,360.0,-7.730763776673872e-05,0.27005206082322625,-0.5102392634567192,-0.19329819199871198,-0.072308694946053,0.1233938567050068,0.8742552055868581,0.0
beta_DCOILWTICO_20,360.0,0.03641814849012583,0.36097989878339587,-1.078653407593166,-0.1564581327272606,0.00011738731710250038,0.1768796398369899,1.8623542567427211,0.0
corr_DFII10_20,360.0,-0.002127086481344922,0.1996305903773629,-0.5128933945177491,-0.12767198739846494,-0.008461919126027782,0.11040080084849044,0.7096664161611572,0.0
beta_CPIAUCSL_20,360.0,0.40585703200694545,17.4372549654575,-181.3597966768301,-0.4688407038122874,0.001135116391875383,0.6882513416211221,188.87083444631557,0.0
beta_DFII10_20,360.0,-0.7836121853523816,10.401866508171777,-45.00935552676825,-5.167364695117624,-0.08945468189187036,3.949019330705074,27.498051852717527,0.0
beta_T10Y2Y_20,360.0,0.8613147553140783,14.072957754770355,-45.8248264194073,-7.15411382903417,0.19823910627825486,7.39291168774237,106.41013793236398,0.0
rolling_skew_20,360.0,1.7114654642169853,1.352053349127623,-4.469166791429064,1.2234202042917406,1.5926779374246793,2.0854876505552853,4.472083588212529,0.0
corr_DGS2_20,360.0,-0.00015203195054920788,0.18689963755115238,-0.4602217536075163,-0.12897959238523957,-0.007425148642271594,0.11007272082736741,0.620318617255119,0.0
beta_DGS10_20,360.0,0.06505252930889655,7.651379588861619,-28.59408559574195,-3.850999167712784,0.0005708166842127165,4.110400685188109,21.012980222756795,0.0
beta_DTWEXBGS_20,360.0,0.08583605203146522,1.3584177525981649,-5.2760283183716545,-0.490311506664118,0.12557064765970205,0.7148215998518976,7.625632146702063,0.0
realized_var_20,360.0,357.6046244672137,159.93095388202173,0.0012279220273579618,284.48050869877443,385.976725661429,480.7070650550265,685.9089109402106,0.0
beta_DGS2_20,360.0,0.051135596169543066,7.206912192006397,-28.86068815002372,-4.489653769897274,-0.04954551409657691,3.656397661249861,27.211585954403482,0.0
sharpe_20,360.0,6.174725232392354,2.677008151792801,-6.5395530081384505,5.544079957863301,6.834391397914898,7.83032393519483,10.00103626300884,0.0
corr_DCOILWTICO_20,360.0,0.02044397747343393,0.19818690245386422,-0.4227618750852881,-0.12985515845269466,0.0014336435044926066,0.15933901408882153,0.5484072798375409,0.0
beta_FEDFUNDS_20,360.0,2.465157579391958,16.372807556700987,-36.96342656029025,-1.8698493046318423e-05,0.0,1.8698493046318423e-05,149.08752750692983,0.0
roll_spread_20,360.0,4.081414568225521,1.8010605096198997,0.0,3.1515048630773608,4.544366974322054,5.19054123038193,8.10079941008314,0.0
rolling_mean_50,360.0,1125.2796522140502,211.75538826707057,732.4025997924805,956.5936029052734,1076.9362007141112,1330.0628511047362,1594.4678060913086,0.0
vol_of_vol_50,360.0,0.37603206765308805,0.2700150654057953,0.00026343165231743255,0.19598784609555797,0.26581334403613344,0.43307223324228544,1.409756182327629,0.0
vpin_50,360.0,0.9978888888877236,0.006153911624818904,0.9799999999991862,0.9999999999980017,0.9999999999986505,0.9999999999993361,0.9999999999998807,0.0
zscore_50,360.0,-0.014304535484452898,1.0239464803166467,-1.3907294422255971,-0.9869802156660527,-0.7634805277991883,1.027476743199263,1.2866702931667364,0.0
drawdown_50,360.0,-0.4763334321896279,0.4439734253138045,-0.9157649412255724,-0.9096342369532712,-0.9058228430919595,-0.019297287506280472,0.0,0.0
beta_CPIAUCSL_50,360.0,-0.49747010635922617,5.01557839977202,-46.81054744795689,-0.38686071311643194,0.07581950679997985,0.4641847906164973,6.067224549865858,0.0
rolling_skew_50,360.0,1.8896657344719983,1.0538174445389632,0.986986289581645,1.3655629482424354,1.6835767301872842,1.875568822979186,7.070689571820324,0.0
autocorr_50_lag10,360.0,0.008320699463624816,0.13136216385923785,-0.27984886347508386,-0.08611577328759051,-0.023428822688689878,0.11531706558662741,0.32610040839920507,0.0
corr_VIXCLS_50,360.0,0.03378498175130872,0.1164328995590826,-0.24900146596687414,-0.05228903174304544,0.01648495527704273,0.09523825342385678,0.38476784348545584,0.0
corr_DCOILWTICO_50,360.0,0.009504068112328375,0.09725302297308912,-0.22937772489095812,-0.05378499572565178,0.004208019582272597,0.06872698405397318,0.25803868416507547,0.0
beta_DGS2_50,360.0,0.08155920389666732,2.482769531511644,-10.882087085716153,-1.0772469664982571,0.00283150226940483,1.1360408228539378,11.645808746015684,0.0
return_50,360.0,2.417868632137023,4.6540775435811295,-0.9159897951370436,-0.8923916602305084,0.03602029446731303,8.876005275659534,11.644345356730414,0.0
